0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
;ISIN;;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
"TNCR2TMAK1K8";;EMP NAT 2023 T2 CB TF;;13 817;1,500;7;7,500;;;;;;;;;;;;
"TNUWXR58DVH5";;EMP NAT 2024 T1 CB TF;;4 000;0,404;271;8,490;;;;;;;;;;;;
"TNN50G7PX8W5";;EMP NAT 2023 T2 CB TV;;100 000;10,000;7;7,920;;;;;;;;;;;;
TNGCLJS7FYQ7;;EMP NAT 2024 T4 CC TF;;15 000;1,500;244;8,500;;;;;;;;;;;;
TNGCLJS7FYQ7;;EMP NAT 2024 T4 CC TF;;40 000;4,000;244;8,500;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;9 705;9,504;80;8,100;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;845;0,900;31;7,750;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;1 127;1,200;31;7,750;;;;;;;;;;;;
TN0008000663;;BTA 7,5% Juillet 2032;;2 845;3,000;82;9,500;;;;;;;;;;;;
TN0008000762;;BTA 8% Novembre 2030;;43 450;44,760;90;8,500;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;4 659;4,960;10;7,400;;;;;;;;;;;;
TN0008000812;;BTA 7,5% 13/12/2028;;12 385;11,801;26;8,910;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;469;0,500;25;7,500;;;;;;;;;;;;
TN0008000721;;BTA 7,2% Fevrier 2027;;18 330;17,800;31;8,910;;;;;;;;;;;;
TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;75 000;7,500;14;8,990;;;;;;;;;;;;
"TNPDPODY2398";;EMP NAT 2024 T3 CC TF;;8 500;0,850;14;8,990;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;8 163;0,840;31;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;12 244;1,260;31;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;98 140;10,100;26;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;19 434;2,000;31;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;16 519;1,700;26;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;38 868;4,000;31;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;29 151;3,000;3;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;19 434;2,000;14;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;36 924;3,800;31;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;19 434;2,000;10;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;29 151;3,000;13;8,910;;;;;;;;;;;;
