0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0001800655;BIAT SUB 2019-2 CA TV;Paiement de coupons;0,18;;;;;;;;
;TN0001800655;BIAT SUB 2019-2 CA TV;Remboursement à l’échéance;1,69;;;;;;;;
;TN0001800663;BIAT SUB 2019-2 CB TV INFINE;Paiement de coupons;0,39;;;;;;;;
;TN0001800663;BIAT SUB 2019-2 CB TV INFINE;Remboursement à l’échéance;3,55;;;;;;;;
;TN0001800671;BIAT SUB 2019-2 CE TF;Paiement de coupons;0,90;;;;;;;;
;TN0001800671;BIAT SUB 2019-2 CE TF;Remboursement à l’échéance;8,00;;;;;;;;
;TN0001800689;BIAT SUB 2019-2 CE TV;Paiement de coupons;1,22;;;;;;;;
;TN0001800689;BIAT SUB 2019-2 CE TV;Remboursement à l’échéance;10,60;;;;;;;;
;TN0002102085;Tunisie Leasing Sub 2018 CB TF;Remboursement partiel;1,14;;;;;;;;
;TN0002102085;Tunisie Leasing Sub 2018 CB TF;Paiement de coupons;0,25;;;;;;;;
;TN0002102093;Tunisie Leasing Sub 2018 CB TV;Remboursement partiel;1,25;;;;;;;;
;TN0002102093;Tunisie Leasing Sub 2018 CB TV;Paiement de coupons;0,27;;;;;;;;
