0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0007310501;Hannibal Lease 2018-2 CB TF;Remboursement partiel;1,96;;;;;;;;
;TN0007310501;Hannibal Lease 2018-2 CB TF;Paiement de coupons;0,45;;;;;;;;
;TNDC8I82J1C4;BH LEASING SUB 2022-1 CA TF;Remboursement partiel;1,12;;;;;;;;
;TNDC8I82J1C4;BH LEASING SUB 2022-1 CA TF;Paiement de coupons;0,32;;;;;;;;
;TNFXPAZ4SJS6;BH LEASING SUB 2022-1 CA TV;Remboursement partiel;0,48;;;;;;;;
;TNFXPAZ4SJS6;BH LEASING SUB 2022-1 CA TV;Paiement de coupons;0,16;;;;;;;;
;TNT8AM2Q6U11;BH LEASING SUB 2022-1 CB TF;Remboursement partiel;0,81;;;;;;;;
;TNT8AM2Q6U11;BH LEASING SUB 2022-1 CB TF;Paiement de coupons;0,40;;;;;;;;
