0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0006750228;AIL 2021-1 TF;Remboursement partiel;4,00;;;;;;;;
;TN0006750228;AIL 2021-1 TF;Paiement de coupons;0,78;;;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;Paiement de coupons;36,07;;;;;;;;
