0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
ISIN;SIN;Libellé;Libellé;;Nombre;;;Nombre Titres;ombre Titres;;Montant (mdt);Montant (mdt);Taux sur l'Année;Taux sur l'Année;;ate;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Opérations;ernière;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2024;;;2025;;;;024;;;025;;;;2024;;;;2025;;;Plus Bas;;;Plus Haut;;;TMP;;;pération;
TNNIY0O9TTE6;BTCT 52 semaines 15072025;9;-;;1 000 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN20X3SC7J74;BTCT 26 semaines 18072025;-;1;;-;90 000;;-;;86 288,170;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNH7HFOU5LW6;BTCT 26 semaines 11082025;-;1;;-;30 000;;-;;28 756,060;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHC5CD4GEQ0;BTCT 26 semaines 12082025;-;2;;-;40 880;;-;;39 157,713;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNZZMSC80KH7;BTCT 26 semaines 15082025;-;1;;-;60 000;;-;;57 525,447;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNKTJ8VPOTZ2;BTCT 52 semaines 22082025;10;-;;700 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;15;-;;186 664;-;;47 583,985;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNEQKUV2JOR6;BTCT 52 semaines 10022026;-;1;;-;21 818;;-;;20 000,020;8,99%;8,99%;8,99%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNESLZG82JC4;BTCT 52 semaines 25022026;-;10;;-;1 200 000;;-;;-;8,98%;8,98%;8,98%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000622;BTA 6,3% 03/2026;9;5;;620;665;;615,666;;737,503;4,10%;5,33%;4,11%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;2;-;;36;-;;34,217;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fév 2027;22;1;;7 477;600;;7 353,015;;576,638;9,61%;9,61%;9,61%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000655;BTA 6,6% 03/2027;6;-;;3 174;-;;3 049,501;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;14;5;;15 354;1 760;;14 901,248;;1 769,184;9,58%;9,65%;9,58%;06/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN9EGII9CQ82;BTA 9,70% 14 octobre 2027;13;-;;108 898;-;;97 300,000;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000770;BTA 7,3% Décem 2027;6;-;;6 391;-;;6 326,819;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;4;3;;12 221;720;;12 070,523;;732,663;9,70%;9,72%;9,70%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000606;BTA 6,7%Avril 2028;6;2;;18 990;834;;18 299,280;;808,818;9,71%;9,74%;9,71%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN87SF5T9RO3;BTA 9,8% 31 Octobre 2028;10;-;;99 253;-;;93 100,000;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;21;3;;11 060;1 044;;10 469,511;;979,392;9,48%;9,80%;9,48%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;5;-;;28 217;-;;15 768,644;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;2;1;;1 609;1 000;;1 610,631;;1 009,232;9,82%;9,82%;9,82%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000739;BTA 7,4%Févr 2030;8;-;;62 001;-;;30 405,688;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;4;-;;2 650;-;;2 391,052;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
