0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;;;;;;;;
;;;;;;;;;;d'Opérations;;;de Titres;;;(mDT);;;Plus Bas;;;lus Hau;;;;PMP;;;;
15/01/2025;TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;1;2;2,004;100,218;100,218;;100,218;-;;;;;;;;;;;;;;;;;;;;
15/01/2025;TNPSL0PEJVO7;EMP NAT 2022 T1 CA TF;1;190;2,039;10,731;10,731;;10,731;-;;;;;;;;;;;;;;;;;;;;
