0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
;Date;;;Code ISIN;;;Libellé;;;;Nombre;;;Nombre;;;Montant;;;;Prix;;;TMP;;;;;;;;
;;;;;;;;;;;d'Opérations;;;de Titres;;;(mDT);;;;Plus Bas;;;Plus Haut;;;;PMP;;;;
18/06/2025;TN0008000838;EMP NAT T1 2021 CB;;1;80 000;8 678,926;108,487;108,487;108,487;-;;;;;;;;;;;;;;;;;;;;;;
18/06/2025;TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;;1;80 000;6 543,570;81,795;81,795;81,795;-;;;;;;;;;;;;;;;;;;;;;;
18/06/2025;TNRGVSC8DE36;EMP NAT 2022 T3 CB TF;;2;80 000;8 577,162;107,215;107,215;107,215;-;;;;;;;;;;;;;;;;;;;;;;
18/06/2025;TNZBXQU5RZ91;EMP NAT 2021 T3 CA TF;;3;4 810;48,607;10,105;10,105;10,105;-;;;;;;;;;;;;;;;;;;;;;;
