0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;d'Opératio;;de Titres;de Titre;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;Plus Hau;PMP;PMP;;;;;
;;;s;;;;;;;;;;;;;;;;;;;;
17/02/2025;TN6DQ00JBLT7;EMP NAT 2023 T1 CA TF;1;18 451;202,450;10,972;10,972;10,972;-;;;;;;;;;;;;;;
17/02/2025;"TNJ1M1ZAWYG5";EMP NAT 2022 T2 CA TF;4;11 222;114,755;10,218;10,228;10,220;-;;;;;;;;;;;;;;
17/02/2025;TNNI3UPDYO12;EMP NAT 2023 T2 CA TF;1;200;2,066;10,329;10,329;10,329;-;;;;;;;;;;;;;;
