0;1;2;3;4;5;6;7;8
;Libellé;;;Opérations du jour;;;Cumul de l’Année;
Cotation Electronique : Titres de capital;9,86;115,38;;;;;;
Opération de Bloc;8,83;34,45;;;;;;
Cotation Electronique : Valeurs du Trésor;-;10,32;;;;;;
Cotation Electronique : Emprunts Obligataire;0,01;0,37;;;;;;
Avis d'Exécution;1,67;74,85;;;;;;
Avis d'Exécution offre Publique;-;-;;;;;;
Cotation sur panneaux;-;0,04;;;;;;
Opérations d'enregistrement;-;0,00;;;;;;
Offre à prix ferme;-;-;;;;;;
