0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;d'Opératio;;de Titres;de Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;Plus Haut;PMP;PMP;;;;;
;;;s;;;;;;;;;;;;;;;;;;;;
"10/04/2025";TN7PM93UZP50;EMP NAT 2022 T4 CB TV;1;"130000";13 510,716;103,929;103,929;103,929;-;;;;;;;;;;;;;;
"10/04/2025";TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1;"150000";15 503,425;103,356;103,356;103,356;-;;;;;;;;;;;;;;
"10/04/2025";TNGB6J5LA0W7;EMP NAT 2024 T2 CA TF;1;440;4,788;10,882;10,882;10,882;-;;;;;;;;;;;;;;
"10/04/2025";TNOXRGYG8RL8;"BTA 8% 24 Novembre2025";1;2;2,047;102,331;102,331;102,331;-;;;;;;;;;;;;;;
"10/04/2025";TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;1;"320000";33 756,813;105,490;105,490;105,490;-;;;;;;;;;;;;;;
