0;1;2;3;4;5;6;7;8;9;10;11
;SIN;;;Libellé;;;Type;;;Montant (MDT);
TN0004700100;ATL (AA);Dividende;11,37;;;;;;;;
TN0006580013;SOTUMAG (AA);Dividende;6,34;;;;;;;;
