0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;;Date;;;Code ISIN;;;Libellé;;;Nombre;;;ombre;;;Montant;;;Prix;;;TMP;
;;;;;;;;'Opératio;;de Titres;e Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;lus Haut;PMP;PMP;;;;;
;;;;s;;;;;;;;;;;;;;;;;;;;
;"19/03/2025";TN0008000705;BTA 6,5% Juin 2025;1;25;26,111;104,444;104,444;104,444;-;;;;;;;;;;;;;;
;"19/03/2025";TN0008000739;BTA 7,4% Fevrier 2030;1;85;77,749;91,469;91,469;91,469;-;;;;;;;;;;;;;;
;"19/03/2025";TNPSL0PEJVO7;EMP NAT 2022 T1 CA TF;2;100;1,088;10,882;10,882;10,882;-;;;;;;;;;;;;;;
