0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
ISIN;SIN;Libellé;Libellé;;Nombre;;Nombre Titres;ombre Titres;;Montant (mdt);Montant (mdt);Taux sur l'Année;Taux sur l'Année;;ate;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Opérations;ernière;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2024;;;2025;;;024;;;025;;;;2024;;;;025;;;Plus Bas;;;Plus Haut;;;TMP;;;pération;
TN6JRW6OPFB4;BTCT 26 semaines 18022025;1;-;60 000;-;;57 512,121;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNN64EKL4XE5;BTC 52 semaines 26022025;8;2;68 098;4 000;;65 548,771;;3 977,648;8,02%;8,02%;8,02%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOI6DZE1IQ0;BTC 52 semaines 18032025;5;-;175 500;-;;160 876,504;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN4U3RLDLBZ6;BTC 52 semaines 28032025;10;-;900 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNC7KC6XPCM5;BTCT 26 semaines 08042025;1;-;55 000;-;;52 719,444;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNFITSFDMPP0;BTCT 26 semaines 11042025;1;-;80 000;-;;76 718,371;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3E0X2QE0C0;BTC 52 semaines 20052025;2;-;21 900;-;;20 088,983;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNXBWNLLU623;BTCT 26 semaines 06062025;2;-;138 100;-;;132 404,783;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000705;BTA 6,5% 06/2025;39;5;167 951;3 298;;53 359,404;;3 402,574;8,67%;9,00%;8,67%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN3O0VDCF6T7;BTCT 26 semaines 18062025;10;-;1 000 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOIFDS2U4S0;BTCT 52 semaines 23062025;9;-;960 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3ZI0XTRW84;BTCT 26 semaines 11072025;-;1;-;32 000;;-;;30 673,131;8,70%;8,70%;8,70%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TNNIY0O9TTE6;BTCT 52 semaines 15072025;9;-;1 000 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN20X3SC7J74;BTCT 26 semaines 18072025;-;1;-;90 000;;-;;86 288,170;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNH7HFOU5LW6;BTCT 26 semaines 11082025;-;1;-;30 000;;-;;28 756,060;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHC5CD4GEQ0;BTCT 26 semaines 12082025;-;2;-;40 880;;-;;39 157,713;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNKTJ8VPOTZ2;BTCT 52 semaines 22082025;10;-;700 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;15;-;186 664;-;;47 583,985;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNEQKUV2JOR6;BTCT 52 semaines 10022026;-;1;-;21 818;;-;;20 000,020;8,99%;8,99%;8,99%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000622;BTA 6,3% 03/2026;9;5;620;665;;615,666;;737,503;4,10%;5,33%;4,11%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;2;-;36;-;;34,217;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fév 2027;22;-;7 477;-;;7 353,015;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000655;BTA 6,6% 03/2027;6;-;3 174;-;;3 049,501;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
