0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
TNH7HFOU5LW6;BTCT 26 semaines 11082025;-;1;;-;30 000;;-;;28 756,060;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHC5CD4GEQ0;BTCT 26 semaines 12082025;-;2;;-;40 880;;-;;39 157,713;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNZZMSC80KH7;BTCT 26 semaines 15082025;-;1;;-;60 000;;-;;57 525,447;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNKTJ8VPOTZ2;BTCT 52 semaines 22082025;10;-;;700 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3TDNYC24V7;BTCT 26 semaines 25082025;-;1;;-;60 000;;-;;57 512,121;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNNI8DD20JG6;BTCT 26 semaines 16092025;-;2;;-;31 400;;-;;30 077,108;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNJJ7UOIZ8A1;BTCT 26 semaines 25092025;-;1;;-;20 000;;-;;19 157,393;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;15;5;;186 664;10 152;;47 583,985;;10 336,851;8,80%;8,95%;8,93%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNEQKUV2JOR6;BTCT 52 semaines 10022026;-;1;;-;21 818;;-;;20 000,020;8,99%;8,99%;8,99%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNESLZG82JC4;BTCT 52 semaines 25022026;-;10;;-;1 200 000;;-;;-;8,98%;8,98%;8,98%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000622;BTA 6,3% 03/2026;9;7;;620;857;;615,666;;945,738;4,10%;10,02%;10,02%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNMP6ILMGGS7;BTCT 52 semaines 17032026;-;4;;-;143 000;;-;;131 084,559;8,99%;8,99%;8,99%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;2;-;;36;-;;34,217;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fév 2027;22;1;;7 477;600;;7 353,015;;576,638;9,61%;9,61%;9,61%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000655;BTA 6,6% 03/2027;6;1;;3 174;70;;3 049,501;;71,244;9,30%;9,30%;9,30%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;14;5;;15 354;1 760;;14 901,248;;1 769,184;9,58%;9,65%;9,58%;06/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN9EGII9CQ82;BTA 9,70% 14 octobre 2027;13;-;;108 898;-;;97 300,000;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000770;BTA 7,3% Décem 2027;6;-;;6 391;-;;6 326,819;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;4;3;;12 221;720;;12 070,523;;732,663;9,70%;9,72%;9,70%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000606;BTA 6,7%Avril 2028;6;2;;18 990;834;;18 299,280;;808,818;9,71%;9,74%;9,71%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
