0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;Taux Moyen;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;86;10 070 318 933,20;488 837 496,99;10 429 482,29;8,93;8,28;10 ,05;9,10;6,95;7,99;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;858;53 477 081 134,45;4 600 948 274,58;1 717 703 999,57;8,98;8,87;10 ,73;9,99;7,49;7,49;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;143;6 563 075 260,60;932 613 966,75;1 474 151 616,16;9,50;9,19;10 ,53;10,44;7,56;7,70;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;1 087;;;70 110 475 328,25;;;6 022 399 738,32;;;3 202 285 098,02;;;;;;;;;;;;;;;;;;;
