0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;;Nombre;;;Montant;;;Prix;;;TMP;;;;;;;
;;;;;;;;;;d'Opérations;;;;de Titres;;;(mDT);;;Plus Bas;;;lus Haut;;;PMP;;;;
15/04/2025;TN0008000838;EMP NAT T1 2021 CB;4;;2 000;213,887;106,944;106,944;106,944;-;;;;;;;;;;;;;;;;;;;;
