0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;;Taux Moyen;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;30;10 070 318 933,20;211 535 786,02;122 473 423,85;;8,93;8,18;10,05;8,99;6,95;7,99;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;203;53 477 081 134,45;1 261 295 881,70;2 184 418 198,38;;8,98;8,92;10,73;9,95;7,49;7,49;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;42;6 563 075 260,60;270 640 618,74;1 629 888 964,48;;9,50;9,05;10,53;9,40;7,56;7,70;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;275;;;70 110 475 328,24;;;1 743 472 286,46;;;3 936 780 586,71;;;;;;;;;;;;;;;;;;;;
