0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;;Taux Moyen;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;203;10 070 318 933,20;1 273 664 683,02;2 900 033,20;;8,93;8,34;10 ,05;9,56;6,95;7,41;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;2652;53 477 081 134,45;13 381 797 680,88;1 389 302 098,23;;8,98;8,77;10 ,73;9,99;7,49;7,25;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;382;6 563 075 260,60;2 012 478 183,68;1 523 316 045,99;;9,50;8,98;10 ,53;10,44;7,56;7,70;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;3 237;;;70 110 475 328,25;;;16 667 940 547,57;;;2 915 518 177,42;;;;;;;;;;;;;;;;;;;;
