0;1;2;3;4;5;6;7;8
;Libellé;;;Opérations du jour;;;Cumul de l’Année;
Cotation Electronique : Titres de capital;7,96;328,01;;;;;;
Opération de Bloc;-;35,91;;;;;;
Cotation Electronique : Valeurs du Trésor;15,89;44,85;;;;;;
Cotation Electronique : Emprunts Obligataire;0,01;9,70;;;;;;
Avis d'Exécution;34,86;259,76;;;;;;
Avis d'Exécution offre Publique;-;-;;;;;;
Cotation sur panneaux;-;0,04;;;;;;
Opérations d'enregistrement;-;0,00;;;;;;
Offre à prix ferme;-;-;;;;;;
