0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
;Date;;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;;Montant;;;;Prix;;;TMP;
;;;;;;;;d'Opératio;;de Titres;de Titres;;(mDT);(mDT);;Plus Bas;Plus Bas;Plus Haut;Plus Haut;PMP;PMP;;;;;
;;;;ns;;;;;;;;;;;;;;;;;;;;;;
09/05/2025;;TNNI3UPDYO12;EMP NAT 2023 T2 CA TF;1;48;;0,511;;10,647;10,647;10,647;-;;;;;;;;;;;;;;
