0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
;Date;;;Code ISIN;;;Libellé;;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;;;;;;;
;;;;;;;;;;;d'Opérations;;;de Titres;;;(mDT);;;Plus Bas;;;lus Haut;;;PMP;;;;
20/06/2025;TN0008000820;EMP NATI T1 2021 CA;;1;7;0,074;10,594;10,594;10,594;-;;;;;;;;;;;;;;;;;;;;
20/06/2025;TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;;3;6 500;6 889,850;105,998;105,998;105,998;-;;;;;;;;;;;;;;;;;;;;
20/06/2025;TNJ1M1ZAWYG5;EMP NAT 2022 T2 CA TF;;1;19 000;190,193;10,010;10,010;10,010;-;;;;;;;;;;;;;;;;;;;;
20/06/2025;TNNI3UPDYO12;EMP NAT 2023 T2 CA TF;;1;380;3,757;9,886;9,886;9,886;-;;;;;;;;;;;;;;;;;;;;
