0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;;Taux Moyen;;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;;2024;;;2025;;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;23;10 070 318 933,20;160 481 318,59;109 450 522,28;;8,93;8,19;;10,05;8,99;6,95;7,99;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;177;53 477 081 134,45;1 186 830 203,12;2 140 417 085,25;;8,98;8,92;;10,73;9,95;7,49;7,49;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;33;6 563 075 260,60;207 255 091,29;1 640 787 744,55;;9,50;9,07;;10,53;9,40;7,56;7,70;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;233;;;70 110 475 328,24;;;1 554 566 613,01;;;3 890 655 352,07;;;;;;;;;;;;;;;;;;;;;
