0;1;2;3;4;5;6;7;8;9;10;11
;SIN;;;Libellé;;;Type;;;Montant (MDT);
TN0003100609;B.N.A (AA);Dividende;63,96;;;;;;;;
TN4XFPRL1TH7;BTCT 26 semaines 19062025;Remboursement à l’échéance;86,50;;;;;;;;
