0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;;Durée;;;Emission;;;Taux Fixe;;;;Taux Variable;;;;;;
;;;;(montant nominal;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP
;;en MDT);;;;;;;;;;;;;;;;
;De 1 à 30* jours;3,65;10,49;8,99;9,67;;0,00;0,00;0,00;;;;;;;;;
;De 30** à 90* jours;11,10;11,00;2,00;3,34;;0,00;0,00;0,00;;;;;;;;;
;"De 90** à 180*jours";1,05;11,00;9,24;10,09;;0,00;0,00;0,00;;;;;;;;;
;"De 180** à 360*jours";21,00;12,25;9,99;10,08;;0,00;0,00;0,00;;;;;;;;;
;Au-delà d'1 an;0,95;12,25;11,25;12,04;;0,00;0,00;0,00;;;;;;;;;
