0;1;2;3;4;5;6;7;8;9
;Libellé;;;Opérations du jour;;;Cumul de l’Année;;
Cotation Electronique : Titres de capital;2,91;150,20;;;;;;;
Opération de Bloc;-;34,45;;;;;;;
Cotation Electronique : Valeurs du Trésor;2,45;12,82;;;;;;;
Cotation Electronique : Emprunts Obligataire;-;2,89;;;;;;;
Avis d'Exécution;3,35;105,02;;;;;;;
Avis d'Exécution offre Publique;-;-;;;;;;;
Cotation sur panneaux;-;0,04;;;;;;;
Opérations d'enregistrement;-;0,00;;;;;;;
Offre à prix ferme;-;-;;;;;;;
