0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
;ISIN;;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;;Taux;
TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;30 500;3,050;12;;8,590;;;;;;;;;;;;
TN0JN6PVVH38;;EMP NAT 2022 T3 CB TV;;5 700;0,602;100;;8,490;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;30 663;30,001;86;;8,660;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;43 279;42,340;8;;7,500;;;;;;;;;;;;
"TNN50G7PX8W5";;EMP NAT 2023 T2 CB TV;;7 400;0,740;14;;8,990;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;34 037;3,500;12;;8,910;;;;;;;;;;;;
"TNUWXR58DVH5";;EMP NAT 2024 T1 CB TF;;77 700;7,770;14;;8,990;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;97 247;10,000;12;;8,910;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;4 863;0,500;84;;8,910;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;8 965;9,000;30;;9,180;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;97 247;10,000;26;;8,410;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;6 322;0,650;19;;8,410;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;1 213;1,218;30;;8,810;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;28 202;2,900;14;;8,410;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;20 443;19,999;14;;7,500;;;;;;;;;;;;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;;27 813;2,860;30;;8,410;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;2 351;2,300;14;;7,500;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;11 244;11,000;14;;7,500;;;;;;;;;;;;
TNRS9CVT3SJ7;;EMP NAT 2023 T3 CB TV;;20 000;2,000;15;;8,200;;;;;;;;;;;;
TNRS9CVT3SJ7;;EMP NAT 2023 T3 CB TV;;15 000;1,500;89;;8,490;;;;;;;;;;;;
TN0008000622;;BTA 6,3% Mars 2026;;996;1,000;90;;8,100;;;;;;;;;;;;
TN0008000606;;BTA 6,7% Avril 2028;;7 606;7,500;8;;7,500;;;;;;;;;;;;
