0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;CFI;;;Libellé;;;ENCOURS (MDT);
;TN19GXXADLD0;DBFTFR;BTA 9,50% août 2035;137,85;;;;;;;;
;TNM72J03BWE9;DYZTXR;BTCT 26 semaines 26112025;6,00;;;;;;;;
