0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;Taux Moyen;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;286;10 070 318 933,20;1 500 145 516,68;11 000 250,63;8,93;8,36;10 ,05;9,95;6,95;6,75;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;3532;53 477 081 134,45;17 038 085 904,57;1 292 882 493,56;8,98;8,69;10 ,73;9,99;7,49;7,00;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;519;6 563 075 260,60;2 498 801 238,62;1 587 196 140,98;9,50;8,88;10 ,53;10,44;7,56;7,50;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;4 337;;;70 110 475 328,25;;;21 037 032 659,87;;;2 891 078 885,18;;;;;;;;;;;;;;;;;;;
