0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;Taux Moyen;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;172;10 070 318 933,20;1 158 899 435,82;43 060 202,66;8,93;8,32;10 ,05;9,56;6,95;7,41;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;2323;53 477 081 134,45;11 707 331 361,46;1 520 144 797,89;8,98;8,81;10 ,73;9,99;7,49;7,25;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;319;6 563 075 260,60;1 722 123 366,79;1 471 038 853,05;9,50;9,05;10 ,53;10,44;7,56;7,70;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;2 814;;;70 110 475 328,25;;;14 588 354 164,07;;;3 034 243 853,60;;;;;;;;;;;;;;;;;;;
