0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;;Date;;;Code ISIN;;;Libellé;;;Nombre;;;ombre;;;Montant;;;Prix;;;TMP;
;;;;;;;;'Opératio;;de Titres;e Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;lus Haut;PMP;PMP;;;;;
;;;;s;;;;;;;;;;;;;;;;;;;;
;"26/02/2025";TN0008000721;BTA 7,2% Fevrier 2027;1;600;577,775;96,296;96,296;96,296;-;;;;;;;;;;;;;;
;"26/02/2025";"TNJ1M1ZAWYG5";EMP NAT 2022 T2 CA TF;3;587;6,051;10,141;10,641;10,147;-;;;;;;;;;;;;;;
