0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;ISIN;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000747;BTA 7,2% Mai 2027;;34 724;33,900;32;8,620;;;;;;;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;;4 086;4,200;15;8,500;;;;;;;;;;;;
TN0008000606;BTA 6,7% Avril 2028;;492;0,500;7;8,500;;;;;;;;;;;;
TN85TI1TIY25;EMP NAT 2024 T1 CC TV;;149 625;15,331;150;7,500;;;;;;;;;;;;
TN45VKDAPM79;EMP NAT 2024 T4 CB TV;;10 000;1,037;150;7,500;;;;;;;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;;30 000;3,132;150;7,500;;;;;;;;;;;;
TNRLFZ5FIX29;EMP NAT 2024 T1 CC TF;;2 882;0,303;70;7,500;;;;;;;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;;15 000;1,602;70;7,500;;;;;;;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;;5 000;0,510;70;7,500;;;;;;;;;;;;
TN0LAJZU8LX6;EMP NAT 2023 T3 CC TV;;50 000;5,347;70;7,500;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;;1 200;1,200;30;9,250;;;;;;;;;;;;
TNN0SOORH1F1;BTA 8,25% juin 2031;;9 780;9,238;70;7,500;;;;;;;;;;;;
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;;10 000;1,000;7;8,600;;;;;;;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;;50 000;5,000;11;8,600;;;;;;;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;;50 000;5,000;10;8,600;;;;;;;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;;2 770;3,000;1;7,500;;;;;;;;;;;;
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;;18 700;2,000;1;7,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;110 692;11,300;15;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;97 958;10,000;21;8,500;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;;372;0,400;30;7,750;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;;10 000;1,000;28;9,250;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;95 999;9,800;30;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;73 469;7,500;22;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;3 429;0,350;45;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;6 368;0,650;14;8,500;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;;10 166;10,000;21;8,500;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;;956;0,098;22;8,500;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;;9 963;9,801;30;8,500;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;;1 017;1,000;30;8,500;;;;;;;;;;;;
