0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;d'Opératio;;de Titres;de Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;Plus Haut;PMP;PMP;;;;;
;;;s;;;;;;;;;;;;;;;;;;;;
13/06/2025;"TNOAYHSVTHY1";EMP NAT 2022 T4 CA TF;2;360;3,611;10,030;10,030;10,030;-;;;;;;;;;;;;;;
13/06/2025;TNPSL0PEJVO7;EMP NAT 2022 T1 CA TF;1;100;1,021;10,210;10,210;10,210;-;;;;;;;;;;;;;;
