0;1;2;3;4;5;6;7;8;9;10;11
;ISIN;;;CFI;;;Libellé;;;ENCOURS (MDT);
TN6IDKUUW874;DYZTXR;BTCT 52 semaines 10042026;100,00;;;;;;;;
