0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000838;EMP NAT T1 2021 CB;15 000;1,500;11;9,090;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;108 730;11,000;11;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 943;0,500;11;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 943;0,500;11;8,990;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5 000;0,500;67;9,100;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14 827;1,500;11;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19 769;2,000;22;8,990;;;;;;;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;110 000;11,000;8;9,100;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;17 500;1,750;7;9,100;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;17 500;1,750;7;9,100;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;15 000;1,500;7;9,100;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1 996;2,000;32;8,750;;;;;;;;;;;;
