0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0R77XCOAH0;STB SUB 2021-1 CE TF TRI;Remboursement partiel;0,25;;;;;;;;
;TN0R77XCOAH0;STB SUB 2021-1 CE TF TRI;Paiement de coupons;0,02;;;;;;;;
;TN2MYCP047G7;STB SUB 2021-1 CC TV;Remboursement partiel;4,80;;;;;;;;
;TN2MYCP047G7;STB SUB 2021-1 CC TV;Paiement de coupons;1,54;;;;;;;;
;TN4UMPL967X2;STB SUB 2021-1 CB TV IF;Paiement de coupons;0,01;;;;;;;;
;TN8X3GZLYOR8;STB SUB 2021-1 CA TV;Remboursement partiel;0,39;;;;;;;;
;TN8X3GZLYOR8;STB SUB 2021-1 CA TV;Paiement de coupons;0,12;;;;;;;;
;TNHUVZNLATV4;BTA 8% 31 Janvier 2029;Paiement de coupons;56,31;;;;;;;;
;TNL6Z2LXMEP5;STB SUB 2021-1 CD TF IF;Paiement de coupons;4,39;;;;;;;;
;TNTGLIP3KDL6;STB SUB 2021-1 CB TF IF;Paiement de coupons;0,66;;;;;;;;
;TNWQS0MZ65V8;STB SUB 2021-1 CA TF;Remboursement partiel;1,28;;;;;;;;
;TNWQS0MZ65V8;STB SUB 2021-1 CA TF;Paiement de coupons;0,33;;;;;;;;
;TNXFR5BNBPM9;STB SUB 2021-1 CC TF;Remboursement partiel;2,40;;;;;;;;
;TNXFR5BNBPM9;STB SUB 2021-1 CC TF;Paiement de coupons;0,66;;;;;;;;
