0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;5 000;0,500;260;8,600;;;;;;;;;;;;
"TNN50G7PX8W5";EMP NAT 2023 T2 CB TV;110 000;11,000;13;8,990;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;13 000;1,300;13;8,990;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;19 684;19,380;90;8,500;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;2 809;3,000;8;8,910;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1 786;1,800;90;7,900;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19 313;2,000;15;8,910;;;;;;;;;;;;
TN0008000606;BTA 6,7% Avril 2028;599;0,600;62;7,700;;;;;;;;;;;;
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;6 250;0,500;30;9,660;;;;;;;;;;;;
TN0008000838;EMP NAT T1 2021 CB;10 000;1,000;30;9,660;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;828;0,800;50;8,500;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7 726;0,800;50;8,500;;;;;;;;;;;;
