0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;;TMP;;;;;;;
;;;;;;;;;;d'Opérations;;;de Titres;;;(mDT);;;Plus Bas;;;Plus Haut;;;PMP;;;;;
28/01/2025;TN0008000705;BTA 6,5% Juin 2025;1;700;723,196;103,314;103,314;103,314;-;;;;;;;;;;;;;;;;;;;;;
28/01/2025;TN0008000820;EMP NATI T1 2021 CA;1;2 575;26,909;10,450;10,450;10,450;-;;;;;;;;;;;;;;;;;;;;;
28/01/2025;TNNI3UPDYO12;EMP NAT 2023 T2 CA TF;1;240;2,490;10,376;10,376;10,376;-;;;;;;;;;;;;;;;;;;;;;
