0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;Durée;;;Emission;;;Taux Fixe;;;;Taux Variable;;;;;;
;;;(montant nominal;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP
;en MDT);;;;;;;;;;;;;;;;
De 1 à 30* jours;415,00;9,99;7,49;9,27;;0,00;0,00;0,00;;;;;;;;;
De 30** à 90* jours;35,00;9,74;8,99;9,37;;0,00;0,00;0,00;;;;;;;;;
"De 90**  à 180*jours";19,00;9,75;8,99;9,02;;0,00;0,00;0,00;;;;;;;;;
"De 180** à 360*jours";4,50;10,29;10,10;10,27;;0,00;0,00;0,00;;;;;;;;;
Au-delà d'1 an;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;;;;;;;
