0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;ISIN;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;;52 000;5,200;15;8,600;;;;;;;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;;10 000;1,000;12;8,600;;;;;;;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;;35 000;3,500;5;7,100;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;48 060;5,000;30;8,500;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;48 060;5,000;90;8,500;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;19 224;2,000;12;8,500;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;14 418;1,500;12;8,500;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;;1 020;1,000;34;8,500;;;;;;;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;;30 000;3,000;5;7,100;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;14 418;1,500;30;8,500;;;;;;;;;;;;
TNYGOCQ2WZX6;BH LEASING 2023-1;;6 101;0,370;30;7,000;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;;11 129;11,001;30;8,500;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;86 507;9,000;30;8,500;;;;;;;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;;19 224;2,000;30;8,500;;;;;;;;;;;;
TN0008000838;EMP NAT T1 2021 CB;;18 700;2,000;1;7,500;;;;;;;;;;;;
TN0008000838;EMP NAT T1 2021 CB;;27 700;3,000;1;7,500;;;;;;;;;;;;
