ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNVE955M6R90;EMP NAT 2023 T3 CB TF;16000;1,6;32;9,75
TNVE955M6R90;EMP NAT 2023 T3 CB TF;24000;2,4;32;9,75
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48573;5,0;32;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;38858;4,0;11;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;38858;4,0;20;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;15544;1,6;126;8,99
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;10153;1,1;7;8,0
TN0008000812;BTA 7,5% 13/12/2028;3292;3,441;15;7,99
TN0008000812;BTA 7,5% 13/12/2028;587;0,613;15;7,99
TN0008000812;BTA 7,5% 13/12/2028;538;0,561;15;7,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2915;0,3;126;8,99
TN0008000812;BTA 7,5% 13/12/2028;4000;4,0;18;9,1
TN0008000812;BTA 7,5% 13/12/2028;850;0,85;18;9,1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;63224;6,5;32;8,99
TN0008000622;BTA 6,3% Mars 2026;4480;4,4;347;8,59
TN0008000622;BTA 6,3% Mars 2026;2240;2,2;347;8,59
TN0008000762;BTA 8% Novembre 2030;8416;8,0;123;8,99
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;27758;28,61;14;8,75
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;8000;0,8;153;8,5
TNGNCCQYSMR1;BTA 9.9% decembre 2033;1068;1,099;32;7,99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;50000;5,0;300;9,0
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;10000;1,0;253;9,0
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;20000;2,0;253;9,0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10000;1,0;253;9,0
