0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;Durée;;;Emission;;;Taux Fixe;;;Taux Variable;;;;;;
;;;(montant nominal;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP
;en MDT);;;;;;;;;;;;;;;
De 1 à 30* jours;1,25;9,99;8,99;9,95;0,00;0,00;0,00;;;;;;;;;
De 30** à 90* jours;12,15;9,24;2,00;8,58;0,00;0,00;0,00;;;;;;;;;
"De 90** à 180*jours";2,50;12,00;8,74;11,25;0,00;0,00;0,00;;;;;;;;;
"De 180** à 360*jours";4,80;12,25;8,99;11,04;0,00;0,00;0,00;;;;;;;;;
Au-delà d'1 an;1,40;12,25;11,75;12,18;0,00;0,00;0,00;;;;;;;;;
