0;1;2;3;4;5;6;7;8;9;10;11
;SIN;;;Libellé;;;Type;;;Montant (MDT);
TN0007580012;BEST LEASE (AA);Dividende;4,50;;;;;;;;
TN0007610017;SOCIETE D'ARTICLES HYGENIQUES (AA);Dividende;33,58;;;;;;;;
