0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;d'Opération;;de Titres;de Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;Plus Haut;PMP;PMP;;;;;
;;;s;;;;;;;;;;;;;;;;;;;;
03/06/2025;TN0008000838;EMP NAT T1 2021 CB;1;1 000;108,125;108,125;108,125;108,125;-;;;;;;;;;;;;;;
03/06/2025;TNOAYHSVTHY1;EMP NAT 2022 T4 CA TF;2;700;7,003;10,005;10,005;10,005;-;;;;;;;;;;;;;;
