0;1;2;3;4;5;6;7;8;9;10;11
;SIN;;;Libellé;;;Type;;;Montant (MDT);
TN0007780034;ABC TUNISIE 2018-1 CB TF;Paiement de coupons;0,00;;;;;;;;
TN0007780034;ABC TUNISIE 2018-1 CB TF;Remboursement à l’échéance;0,04;;;;;;;;
TN0007780042;ABC TUNISIE 2018-1 CB TV;Paiement de coupons;0,00;;;;;;;;
TN0007780042;ABC TUNISIE 2018-1 CB TV;Remboursement à l’échéance;0,00;;;;;;;;
TN0007780059;ABC TUNISIE 2018-1 CC TV;Paiement de coupons;0,11;;;;;;;;
TN0007780059;ABC TUNISIE 2018-1 CC TV;Remboursement à l’échéance;1,05;;;;;;;;
