0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;16 189;1,700;92;9,840;;;;;;;;;;;;
"TNXJGTXAROH4";BTA 9,90% 26 décembre 2034;3 409;3,499;20;7,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;190 455;20,000;30;8,990;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;242;0,250;153;7,900;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;971;1,000;92;9,840;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;388;0,400;14;8,990;;;;;;;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;62 000;6,200;16;9,100;;;;;;;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;18 000;1,800;16;9,100;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9 523;1,000;14;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;76 182;8,000;20;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;95 228;10,000;20;8,990;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;18 915;18,001;20;8,990;;;;;;;;;;;;
"TNXJGTXAROH4";BTA 9,90% 26 décembre 2034;56 702;58,199;9;9,000;;;;;;;;;;;;
"TNXJGTXAROH4";BTA 9,90% 26 décembre 2034;8 817;9,050;9;9,000;;;;;;;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;8 000;0,800;92;9,750;;;;;;;;;;;;
