0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;Date;;;Code ISIN;;;Libellé;;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;;d'Opération;;de Titres;de Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;lus Haut;PMP;PMP;;;;;
;;;;s;;;;;;;;;;;;;;;;;;;;
17/04/2025;TN0008000747;BTA 7,2% Mai 2027;;1;15;15,355;102,367;102,367;102,367;-;;;;;;;;;;;;;;
17/04/2025;TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;;1;28;2,122;75,785;75,785;75,785;-;;;;;;;;;;;;;;
