0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;Durée;;;Emission;;;Taux Fixe;;;;Taux Variable;;;;;;
;;;(montant nominal;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP
;en MDT);;;;;;;;;;;;;;;;
De 1 à 30* jours;259,50;10,49;7,99;9,02;;0,00;0,00;0,00;;;;;;;;;
De 30** à 90* jours;58,00;9,80;7,50;9,26;;0,00;0,00;0,00;;;;;;;;;
"De 90**  à 180*jours";4,00;10,24;10,24;10,24;;0,00;0,00;0,00;;;;;;;;;
"De 180** à 360*jours";12,00;10,91;8,99;10,65;;0,00;0,00;0,00;;;;;;;;;
Au-delà d'1 an;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;;;;;;;
