0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;;Nombre;;;ontant dénoué;;;Prix;;;TMP;
;;;;;;d'Opérations;d'Opérations;;de Titres;de Titres;;Chez la;;Plus Bas;Plus Bas;Plus Haut;Plus Haut;PMP;PMP;;;;;
;;;;;;BCT(mDT);;;;;;;;;;;;;;;;;;
16/06/2025;TNL8K8A9Q440;BTA 9,28% 16062028;10;;1 200 000;1 200 000,000;100,000%;100,000%;100,000%;9,280%;;;;;;;;;;;;;;
