0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
;Date;;;Code ISIN;;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;;TMP;
;;;;;;;;d'Opération;;de Titres;de Titres;(mDT);(mDT);Plus Bas;Plus Bas;;Plus Haut;Plus Haut;;PMP;PMP;;;;
;;;;s;;;;;;;;;;;;;;;;;;;;;
14/02/2025;TNCYAUILJ413;;BTA 9,87% 08 Janvier 2032;1;1 000;1 011,705;101,171;;101,171;;101,171;;-;;;;;;;;;;;;
14/02/2025;TNJ1M1ZAWYG5;;EMP NAT 2022 T2 CA TF;1;415;4,237;10,211;;10,211;;10,211;;-;;;;;;;;;;;;
