0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;;SIN;;;;Libellé;;;;Type;;;;Montant (MDT);;
;TN0007760127;;ENDA TAMWEEL 2020-3 CA TF IF;;Paiement de coupons;;1,75;;;;;;;;;
;;;;;;;;;;;;;;;;
;TN0007760135;;ENDA TAMWEEL 2020-3 CB TF IF;;Paiement de coupons;;1,37;;;;;;;;;
;;;;;;;;;;;;;;;;
;TN32EDJTCHU3;;BTC 52 semaines 22012025;;Remboursement à l’échéance;;500,00;;;;;;;;;
