0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;;Durée;;;Emission;;;Taux Fixe;;;;Taux Variable;;;;;;
;;;;(montant nominal;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP
;;en MDT);;;;;;;;;;;;;;;;
;De 1 à 30* jours;78,50;9,79;7,89;9,26;;0,00;0,00;0,00;;;;;;;;;
;De 30** à 90* jours;20,00;10,49;9,24;9,63;;0,00;0,00;0,00;;;;;;;;;
;"De 90**  à 180*jours";14,00;10,45;9,64;10,22;;0,00;0,00;0,00;;;;;;;;;
;"De 180** à 360*jours";0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;;;;;;;
;Au-delà d'1 an;3,50;10,09;7,99;8,89;;0,00;0,00;0,00;;;;;;;;;
