0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;Taux Moyen;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;118;10 070 318 933,20;750 781 616,25;65 349 132,10;8,93;8,28;10 ,05;9,27;6,95;7,99;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;1375;53 477 081 134,45;6 839 741 203,46;1 635 158 151,57;8,98;8,87;10 ,73;9,99;7,49;7,49;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;198;6 563 075 260,60;1 191 148 776,19;1 465 480 765,79;9,50;9,18;10 ,53;10,44;7,56;7,70;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;1 691;;;70 110 475 328,25;;;8 781 671 595,89;;;3 165 988 049,47;;;;;;;;;;;;;;;;;;;
