0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;Durée;;;Emission;;;Taux Fixe;;;;Taux Variable;;;;;;
;;;(montant nominal;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP;;Taux plus haut;Taux plus haut;Taux plus bas;Taux plus bas;TMP;TMP
;en MDT);;;;;;;;;;;;;;;;
De 1 à 30* jours;339,00;10,50;7,99;9,23;;0,00;0,00;0,00;;;;;;;;;
De 30** à 90* jours;212,50;9,99;8,99;9,42;;0,00;0,00;0,00;;;;;;;;;
"De 90**  à 180*jours";3,00;10,24;8,99;9,91;;0,00;0,00;0,00;;;;;;;;;
"De 180** à 360*jours";43,50;10,74;9,99;10,14;;0,00;0,00;0,00;;;;;;;;;
Au-delà d'1 an;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;;;;;;;
