0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
ISIN;SIN;Libellé;Libellé;;Nombre;;;Nombre Titres;ombre Titres;;Montant (mdt);Montant (mdt);Taux sur l'Année;Taux sur l'Année;;ate;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Opérations;ernière;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2024;;;2025;;;;024;;;025;;;;2024;;;;2025;;;Plus Bas;;;Plus Haut;;;TMP;;;pération;
TNOI6DZE1IQ0;BTC 52 semaines 18032025;5;-;;175 500;-;;160 876,504;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN4U3RLDLBZ6;BTC 52 semaines 28032025;10;-;;900 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNC7KC6XPCM5;"BTCT 26 semaines08042025";1;-;;55 000;-;;52 719,444;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNFITSFDMPP0;"BTCT 26 semaines11042025";1;1;;80 000;4 000;;76 718,371;;3 970,880;8,25%;8,25%;8,25%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3E0X2QE0C0;BTC 52 semaines 20052025;2;-;;21 900;-;;20 088,983;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNXBWNLLU623;"BTCT 26 semaines06062025";2;-;;138 100;-;;132 404,783;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000705;BTA 6,5% 06/2025;39;11;;167 951;12 062;;53 359,404;;12 517,556;8,50%;9,37%;8,66%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN3O0VDCF6T7;"BTCT 26 semaines18062025";10;-;;1 000 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOIFDS2U4S0;"BTCT 52 semaines23062025";9;-;;960 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3ZI0XTRW84;"BTCT 26 semaines11072025";-;1;;-;32 000;;-;;30 673,131;8,70%;8,70%;8,70%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TNNIY0O9TTE6;"BTCT 52 semaines15072025";9;-;;1 000 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN20X3SC7J74;"BTCT 26 semaines18072025";-;1;;-;90 000;;-;;86 288,170;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNH7HFOU5LW6;"BTCT 26 semaines11082025";-;1;;-;30 000;;-;;28 756,060;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHC5CD4GEQ0;"BTCT 26 semaines12082025";-;2;;-;40 880;;-;;39 157,713;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNZZMSC80KH7;"BTCT 26 semaines15082025";-;1;;-;60 000;;-;;57 525,447;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNKTJ8VPOTZ2;"BTCT 52 semaines22082025";10;-;;700 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3TDNYC24V7;"BTCT 26 semaines25082025";-;1;;-;60 000;;-;;57 512,121;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;15;-;;186 664;-;;47 583,985;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNEQKUV2JOR6;"BTCT 52 semaines10022026";-;1;;-;21 818;;-;;20 000,020;8,99%;8,99%;8,99%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNESLZG82JC4;"BTCT 52 semaines25022026";-;10;;-;1 200 000;;-;;-;8,98%;8,98%;8,98%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000622;BTA 6,3% 03/2026;9;6;;620;798;;615,666;;888,719;4,10%;5,33%;4,10%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;2;-;;36;-;;34,217;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fév 2027;22;1;;7 477;600;;7 353,015;;576,638;9,61%;9,61%;9,61%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000655;BTA 6,6% 03/2027;6;-;;3 174;-;;3 049,501;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;14;5;;15 354;1 760;;14 901,248;;1 769,184;9,58%;9,65%;9,58%;06/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN9EGII9CQ82;BTA 9,70% 14 octobre 2027;13;-;;108 898;-;;97 300,000;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000770;BTA 7,3% Décem 2027;6;-;;6 391;-;;6 326,819;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
