0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;;Nombre;;;;Montant;;;Prix;;;TMP;
;;;;;;;'Opératio;;;de Titres;de Titres;;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;Plus Haut;PMP;PMP;;;;;
;;;s;;;;;;;;;;;;;;;;;;;;;;
26/05/2025;TNNI3UPDYO12;"EMP NAT 2023 T2 CATF";1;736;;7,374;10,019;10,019;10,019;-;;;;;;;;;;;;;;;
26/05/2025;TNZBXQU5RZ91;"EMP NAT 2021 T3 CATF";1;961;;10,043;10,450;10,450;10,450;-;;;;;;;;;;;;;;;
