0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;;Date;;;Code ISIN;;;Libellé;;;Nombre;;;ombre;;;Montant;;;Prix;;;TMP;
;;;;;;;;'Opératio;;de Titres;e Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;lus Haut;PMP;PMP;;;;;
;;;;s;;;;;;;;;;;;;;;;;;;;
;08/04/2025;"TN0008000747";BTA 7,2% Mai 2027;1;15;15,306;102,040;102,040;102,040;-;;;;;;;;;;;;;;
;08/04/2025;"TNNI3UPDYO12";EMP NAT 2023 T2 CA TF;2;839;8,778;10,463;10,463;10,463;-;;;;;;;;;;;;;;
