0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TNC7KC6XPCM5;BTCT 26 semaines 08042025;Remboursement à l’échéance;55,00;;;;;;;;
;TNKU48FZVRH1;TLF 2022-1 TV;Remboursement partiel;0,40;;;;;;;;
;TNKU48FZVRH1;TLF 2022-1 TV;Paiement de coupons;0,13;;;;;;;;
;TNYJL6N2AEP6;TLF 2022-1 TF;Remboursement partiel;7,60;;;;;;;;
;TNYJL6N2AEP6;TLF 2022-1 TF;Paiement de coupons;2,19;;;;;;;;
