0;1;2;3;4;5;6;7;8;9;10;11
;ISIN;;;CFI;;;Libellé;;;ENCOURS (MDT);
TN3Z8BRRN997;DBVNFR;BTK 2024-1 TV;25,00;;;;;;;;
