0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;;TMP;;;;;;;
;;;;;;;;;;d'Opérations;;;e Titres;;;(mDT);;;Plus Bas;;;Plus Haut;;;PMP;;;;;
09/01/2025;TN0008000747;BTA 7,2% Mai 2027;1;270;269,417;99,784;99,784;99,784;;-;;;;;;;;;;;;;;;;;;;;
