0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
;Date;;;Code ISIN;;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;;;;;;;
;;;;;;;;;;;d'Opérations;;;de Titres;;;(mDT);;;Plus Bas;;;Plus Haut;;;PMP;;;;
13/05/2025;TNJ1M1ZAWYG5;;EMP NAT 2022 T2 CA TF;1;1 000;10,334;10,334;10,334;10,334;-;;;;;;;;;;;;;;;;;;;;
13/05/2025;TNNI3UPDYO12;;EMP NAT 2023 T2 CA TF;1;352;3,751;10,657;10,657;10,657;-;;;;;;;;;;;;;;;;;;;;
13/05/2025;TNZBXQU5RZ91;;EMP NAT 2021 T3 CA TF;1;1 000;10,140;10,140;10,140;10,140;-;;;;;;;;;;;;;;;;;;;;
