0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Durée;Durée;;Nombre;;Volume en DT*;Volume en DT*;En cours en DT;En cours en DT;;Taux Moyen;;Taux plus haut %;Taux plus haut %;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;
;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2024;;;2025;;;2024;;;2025;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;
De 1 à 7 jours;1883;337;10 070 318 933,20;1 608 992 741,62;14 300 122,84;8,93;8,32;10 ,05;9,95;6,95;6,75;;;;;;;;;;;;;;;;;;;;;;;;
De 8 à 90 jours;10542;3917;53 477 081 134,45;18 409 983 564,36;1 283 809 792,06;8,98;8,66;10 ,73;9,99;7,49;7,00;;;;;;;;;;;;;;;;;;;;;;;;
Au-delà de 90 jours;1310;557;6 563 075 260,60;2 714 219 042,04;1 727 550 802,82;9,50;8,93;10 ,53;10,44;7,56;7,50;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL :;;;13 735;;;4 811;;;70 110 475 328,25;;;22 733 195 348,03;;;3 025 660 717,72;;;;;;;;;;;;;;;;;;;
