0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;d'Opératio;;de Titres;de Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;Plus Haut;PMP;PMP;;;;;
;;;s;;;;;;;;;;;;;;;;;;;;
"21/02/2025";TN0008000903;"EMPRUNT NATIONAL2021 T2 CC";1;4;4,015;100,365;100,365;100,365;-;;;;;;;;;;;;;;
"21/02/2025";TN5XXZZ454U2;EMP NAT 2022 T1 CC TF;1;3 510;380,753;108,477;108,477;108,477;-;;;;;;;;;;;;;;
"21/02/2025";"TNHG2VXQ3BG0";EMP NAT 2022 T1 CB TF;1;1 167;126,375;108,290;108,290;108,290;-;;;;;;;;;;;;;;
"21/02/2025";"TNJ1M1ZAWYG5";EMP NAT 2022 T2 CA TF;1;49 173;522,635;10,628;10,628;10,628;-;;;;;;;;;;;;;;
"21/02/2025";"TNQVHB5WZ2K2";EMP NAT 2022 T2 CB TF;1;250;26,588;106,353;106,353;106,353;-;;;;;;;;;;;;;;
"21/02/2025";TNZBXQU5RZ91;EMP NAT 2021 T3 CA TF;1;36;0,368;10,226;10,226;10,226;-;;;;;;;;;;;;;;
