0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;;d'Opératio;;de Titres;e Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;lus Haut;PMP;PMP;;;;;
;;;;ns;;;;;;;;;;;;;;;;;;;;
;"02/04/2025";TN0008000705;BTA 6,5% Juin 2025;2;100;104,773;104,773;104,773;104,773;-;;;;;;;;;;;;;;
;"02/04/2025";TN0008000747;BTA 7,2% Mai 2027;2;105;107,028;101,931;101,931;101,931;-;;;;;;;;;;;;;;
;"02/04/2025";TN5XXZZ454U2;EMP NAT 2022 T1 CC TF;1;539;46,867;86,952;86,952;86,952;-;;;;;;;;;;;;;;
;"02/04/2025";TNCYAUILJ413;"BTA 9,87% 08 Janvier2032";1;40 000;40 932,581;102,331;102,331;102,331;-;;;;;;;;;;;;;;
