0;1;2;3;4;5;6;7
De 1 à 30* jours;123,00;9,99;7,99;9,22;0,00;0,00;0,00
De 30** à 90* jours;89,50;10,24;8,99;9,32;0,00;0,00;0,00
"De 90**  à 180*jours";2,50;10,24;8,99;9,99;0,00;0,00;0,00
"De 180** à 360*jours";0,00;0,00;0,00;0,00;0,00;0,00;0,00
Au-delà d'1 an;0,00;0,00;0,00;0,00;0,00;0,00;0,00
